spp,true.lo,true.hi,obs.lo,obs.hi,mod.lo,mod.hi,sim,b,mtn,type,effort,era
1,1600,2800,1600,2800,1600,2800,41,200,FR,all,1,H
2,2400,3800,2400,3800,2400,3800,41,200,FR,all,1,H
3,2200,3000,2200,3000,2200,3000,41,200,FR,all,1,H
4,1600,2800,1600,2800,1600,2800,41,200,FR,all,1,H
5,1600,3200,1600,3000,1600,3000,41,200,FR,all,1,H
6,NA,NA,NA,NA,NA,NA,41,200,FR,all,1,H
7,1600,2400,1600,2400,1600,2400,41,200,FR,all,1,H
8,1800,3000,1800,2600,1800,2600,41,200,FR,all,1,H
9,2400,3200,2400,3200,2400,3200,41,200,FR,all,1,H
10,2400,3400,2400,3200,2400,3200,41,200,FR,all,1,H
11,2000,3400,2200,3400,2200,3400,41,200,FR,all,1,H
12,1600,3200,1600,3000,1600,3000,41,200,FR,all,1,H
13,2600,3400,2600,3400,2600,3400,41,200,FR,all,1,H
14,2400,2400,NA,NA,NA,NA,41,200,FR,all,1,H
15,2400,3400,2400,3400,2400,3400,41,200,FR,all,1,H
16,2200,3200,2400,3200,2400,3200,41,200,FR,all,1,H
17,1600,3600,1600,3200,1600,3200,41,200,FR,all,1,H
18,1600,2400,1600,2400,1600,2400,41,200,FR,all,1,H
19,1800,3400,1800,3400,1800,3400,41,200,FR,all,1,H
20,2400,3800,2400,3800,2400,3800,41,200,FR,all,1,H
21,1600,3200,1600,3000,1600,3000,41,200,FR,all,1,H
22,2000,3600,2000,3600,2000,3600,41,200,FR,all,1,H
23,2000,2800,2200,2600,2200,2600,41,200,FR,all,1,H
24,NA,NA,NA,NA,NA,NA,41,200,FR,all,1,H
25,2600,3600,2800,3400,2800,3400,41,200,FR,all,1,H
26,2200,2600,NA,NA,NA,NA,41,200,FR,all,1,H
27,1800,3000,1800,3000,1800,3000,41,200,FR,all,1,H
28,1600,2800,1600,2800,1600,2800,41,200,FR,all,1,H
29,2200,3000,2200,3000,2200,3000,41,200,FR,all,1,H
30,1600,2800,1600,2800,1600,2800,41,200,FR,all,1,H
31,2600,3800,2600,3600,2600,3600,41,200,FR,all,1,H
32,2000,3200,2000,3200,2000,3200,41,200,FR,all,1,H
33,2800,3800,3600,3600,3600,3600,41,200,FR,all,1,H
34,1600,3800,1600,3800,1600,3800,41,200,FR,all,1,H
35,2200,3600,2400,3600,2400,3600,41,200,FR,all,1,H
36,1600,2600,1600,2600,1600,2600,41,200,FR,all,1,H
37,1600,2600,1600,2600,1600,2600,41,200,FR,all,1,H
1,1600,2800,1600,2600,1600,2600,42,200,FR,all,1,H
2,2400,3800,2400,3600,2400,3600,42,200,FR,all,1,H
3,2200,3000,2200,3000,2200,3000,42,200,FR,all,1,H
4,1600,2800,1600,2800,1600,2800,42,200,FR,all,1,H
5,1600,3200,1600,3000,1600,3000,42,200,FR,all,1,H
6,NA,NA,NA,NA,NA,NA,42,200,FR,all,1,H
7,1600,2400,1600,2400,1600,2400,42,200,FR,all,1,H
8,1800,3000,1800,2800,1800,2800,42,200,FR,all,1,H
9,2400,3200,2400,3200,2400,3200,42,200,FR,all,1,H
10,2400,3400,2400,3200,2400,3200,42,200,FR,all,1,H
11,2000,3400,2200,3400,2200,3400,42,200,FR,all,1,H
12,1600,3200,1600,3000,1600,3000,42,200,FR,all,1,H
13,2600,3400,2800,3400,2800,3400,42,200,FR,all,1,H
14,2400,2400,NA,NA,NA,NA,42,200,FR,all,1,H
15,2400,3400,2400,3400,2400,3400,42,200,FR,all,1,H
16,2200,3200,2400,3000,2400,3000,42,200,FR,all,1,H
17,1600,3600,1600,2600,1600,2600,42,200,FR,all,1,H
18,1600,2400,1600,2400,1600,2400,42,200,FR,all,1,H
19,1800,3400,1800,3400,1800,3400,42,200,FR,all,1,H
20,2400,3800,2400,3800,2400,3800,42,200,FR,all,1,H
21,1600,3200,1600,3000,1600,3000,42,200,FR,all,1,H
22,2000,3600,2000,3600,2000,3600,42,200,FR,all,1,H
23,2000,2800,2200,2600,2200,2600,42,200,FR,all,1,H
24,NA,NA,NA,NA,NA,NA,42,200,FR,all,1,H
25,2600,3600,2800,3400,2800,3400,42,200,FR,all,1,H
26,2200,2600,NA,NA,NA,NA,42,200,FR,all,1,H
27,1800,3000,1800,3000,1800,3000,42,200,FR,all,1,H
28,1600,2800,1600,2600,1600,2600,42,200,FR,all,1,H
29,2200,3000,2200,3000,2200,3000,42,200,FR,all,1,H
30,1600,2800,1600,2800,1600,2800,42,200,FR,all,1,H
31,2600,3800,2600,3600,2600,3600,42,200,FR,all,1,H
32,2000,3200,2000,3200,2000,3200,42,200,FR,all,1,H
33,2800,3800,3000,3000,3000,3000,42,200,FR,all,1,H
34,1600,3800,1600,3800,1600,3800,42,200,FR,all,1,H
35,2200,3600,2400,3600,2400,3600,42,200,FR,all,1,H
36,1600,2600,1600,2600,1600,2600,42,200,FR,all,1,H
37,1600,2600,1600,2600,1600,2600,42,200,FR,all,1,H
1,1600,2800,1600,2600,1600,2600,43,200,FR,all,1,H
2,2400,3800,2400,3800,2400,3800,43,200,FR,all,1,H
3,2200,3000,2200,3000,2200,3000,43,200,FR,all,1,H
4,1600,2800,1600,2800,1600,2800,43,200,FR,all,1,H
5,1600,3200,1600,3000,1600,3000,43,200,FR,all,1,H
6,NA,NA,NA,NA,NA,NA,43,200,FR,all,1,H
7,1600,2400,1600,2400,1600,2400,43,200,FR,all,1,H
8,1800,3000,1800,2600,1800,2600,43,200,FR,all,1,H
9,2400,3200,2400,3200,2400,3200,43,200,FR,all,1,H
10,2400,3400,2400,3200,2400,3200,43,200,FR,all,1,H
11,2000,3400,2200,3400,2200,3400,43,200,FR,all,1,H
12,1600,3200,1600,3000,1600,3000,43,200,FR,all,1,H
13,2600,3400,2600,3400,2600,3400,43,200,FR,all,1,H
14,2400,2400,NA,NA,NA,NA,43,200,FR,all,1,H
15,2400,3400,2400,3400,2400,3400,43,200,FR,all,1,H
16,2200,3200,2400,3200,2400,3200,43,200,FR,all,1,H
17,1600,3600,1600,3600,1600,3600,43,200,FR,all,1,H
18,1600,2400,1600,2400,1600,2400,43,200,FR,all,1,H
19,1800,3400,1800,3400,1800,3400,43,200,FR,all,1,H
20,2400,3800,2400,3800,2400,3800,43,200,FR,all,1,H
21,1600,3200,1600,3000,1600,3000,43,200,FR,all,1,H
22,2000,3600,2000,3400,2000,3400,43,200,FR,all,1,H
23,2000,2800,2200,2600,2200,2600,43,200,FR,all,1,H
24,NA,NA,NA,NA,NA,NA,43,200,FR,all,1,H
25,2600,3600,2800,3400,2800,3400,43,200,FR,all,1,H
26,2200,2600,NA,NA,NA,NA,43,200,FR,all,1,H
27,1800,3000,1800,3000,1800,3000,43,200,FR,all,1,H
28,1600,2800,1600,2600,1600,2600,43,200,FR,all,1,H
29,2200,3000,2200,3000,2200,3000,43,200,FR,all,1,H
30,1600,2800,1600,2800,1600,2800,43,200,FR,all,1,H
31,2600,3800,2600,3800,2600,3800,43,200,FR,all,1,H
32,2000,3200,2000,3200,2000,3200,43,200,FR,all,1,H
33,2800,3800,3000,3400,3000,3400,43,200,FR,all,1,H
34,1600,3800,1600,3600,1600,3600,43,200,FR,all,1,H
35,2200,3600,2400,3600,2400,3600,43,200,FR,all,1,H
36,1600,2600,1600,2600,1600,2600,43,200,FR,all,1,H
37,1600,2600,1600,2600,1600,2600,43,200,FR,all,1,H
1,1600,2800,1600,2600,1600,2600,44,200,FR,all,1,H
2,2400,3800,2400,3800,2400,3800,44,200,FR,all,1,H
3,2200,3000,2200,3000,2200,3000,44,200,FR,all,1,H
4,1600,2800,1600,2800,1600,2800,44,200,FR,all,1,H
5,1600,3200,1600,3000,1600,3000,44,200,FR,all,1,H
6,NA,NA,NA,NA,NA,NA,44,200,FR,all,1,H
7,1600,2400,1600,2400,1600,2400,44,200,FR,all,1,H
8,1800,3000,2400,2800,2400,2800,44,200,FR,all,1,H
9,2400,3200,2400,3200,2400,3200,44,200,FR,all,1,H
10,2400,3400,2400,3200,2400,3200,44,200,FR,all,1,H
11,2000,3400,2200,3400,2200,3400,44,200,FR,all,1,H
12,1600,3200,1600,3000,1600,3000,44,200,FR,all,1,H
13,2600,3400,2800,3400,2800,3400,44,200,FR,all,1,H
14,2400,2400,NA,NA,NA,NA,44,200,FR,all,1,H
15,2400,3400,2400,3400,2400,3400,44,200,FR,all,1,H
16,2200,3200,2400,3000,2400,3000,44,200,FR,all,1,H
17,1600,3600,1600,2600,1600,2600,44,200,FR,all,1,H
18,1600,2400,1600,2400,1600,2400,44,200,FR,all,1,H
19,1800,3400,1800,3400,1800,3400,44,200,FR,all,1,H
20,2400,3800,2400,3800,2400,3800,44,200,FR,all,1,H
21,1600,3200,1600,3000,1600,3000,44,200,FR,all,1,H
22,2000,3600,2000,3600,2000,3600,44,200,FR,all,1,H
23,2000,2800,2200,2600,2200,2600,44,200,FR,all,1,H
24,NA,NA,NA,NA,NA,NA,44,200,FR,all,1,H
25,2600,3600,2800,3400,2800,3400,44,200,FR,all,1,H
26,2200,2600,NA,NA,NA,NA,44,200,FR,all,1,H
27,1800,3000,1800,3000,1800,3000,44,200,FR,all,1,H
28,1600,2800,1600,2800,1600,2800,44,200,FR,all,1,H
29,2200,3000,2200,3000,2200,3000,44,200,FR,all,1,H
30,1600,2800,1600,2800,1600,2800,44,200,FR,all,1,H
31,2600,3800,2600,3800,2600,3800,44,200,FR,all,1,H
32,2000,3200,2000,3200,2000,3200,44,200,FR,all,1,H
33,2800,3800,NA,NA,NA,NA,44,200,FR,all,1,H
34,1600,3800,1600,3600,1600,3600,44,200,FR,all,1,H
35,2200,3600,2400,3600,2400,3600,44,200,FR,all,1,H
36,1600,2600,1600,2600,1600,2600,44,200,FR,all,1,H
37,1600,2600,1600,2600,1600,2600,44,200,FR,all,1,H
1,1600,2800,1600,2600,1600,2600,45,200,FR,all,1,H
2,2400,3800,2600,3800,2600,3800,45,200,FR,all,1,H
3,2200,3000,2200,3000,2200,3000,45,200,FR,all,1,H
4,1600,2800,1600,2800,1600,2800,45,200,FR,all,1,H
5,1600,3200,1600,3000,1600,3000,45,200,FR,all,1,H
6,NA,NA,NA,NA,NA,NA,45,200,FR,all,1,H
7,1600,2400,1600,2400,1600,2400,45,200,FR,all,1,H
8,1800,3000,1800,2600,1800,2600,45,200,FR,all,1,H
9,2400,3200,2400,3200,2400,3200,45,200,FR,all,1,H
10,2400,3400,2400,3200,2400,3200,45,200,FR,all,1,H
11,2000,3400,2200,3400,2200,3400,45,200,FR,all,1,H
12,1600,3200,1600,3000,1600,3000,45,200,FR,all,1,H
13,2600,3400,2600,3400,2600,3400,45,200,FR,all,1,H
14,2400,2400,NA,NA,NA,NA,45,200,FR,all,1,H
15,2400,3400,2400,3400,2400,3400,45,200,FR,all,1,H
16,2200,3200,2400,3200,2400,3200,45,200,FR,all,1,H
17,1600,3600,1600,3600,1600,3600,45,200,FR,all,1,H
18,1600,2400,1600,2400,1600,2400,45,200,FR,all,1,H
19,1800,3400,1800,3400,1800,3400,45,200,FR,all,1,H
20,2400,3800,2400,3600,2400,3600,45,200,FR,all,1,H
21,1600,3200,1600,3000,1600,3000,45,200,FR,all,1,H
22,2000,3600,2000,3400,2000,3400,45,200,FR,all,1,H
23,2000,2800,2200,2600,2200,2600,45,200,FR,all,1,H
24,NA,NA,NA,NA,NA,NA,45,200,FR,all,1,H
25,2600,3600,2800,3400,2800,3400,45,200,FR,all,1,H
26,2200,2600,NA,NA,NA,NA,45,200,FR,all,1,H
27,1800,3000,1800,3000,1800,3000,45,200,FR,all,1,H
28,1600,2800,1600,2800,1600,2800,45,200,FR,all,1,H
29,2200,3000,2200,3000,2200,3000,45,200,FR,all,1,H
30,1600,2800,1600,2800,1600,2800,45,200,FR,all,1,H
31,2600,3800,2600,3600,2600,3600,45,200,FR,all,1,H
32,2000,3200,2000,3200,2000,3200,45,200,FR,all,1,H
33,2800,3800,3000,3000,3000,3000,45,200,FR,all,1,H
34,1600,3800,1600,3800,1600,3800,45,200,FR,all,1,H
35,2200,3600,2400,3600,2400,3600,45,200,FR,all,1,H
36,1600,2600,1600,2600,1600,2600,45,200,FR,all,1,H
37,1600,2600,1600,2600,1600,2600,45,200,FR,all,1,H
1,1600,2800,1600,2600,1600,2600,46,200,FR,all,1,H
2,2400,3800,2400,3600,2400,3600,46,200,FR,all,1,H
3,2200,3000,2200,3000,2200,3000,46,200,FR,all,1,H
4,1600,2800,1600,2800,1600,2800,46,200,FR,all,1,H
5,1600,3200,1600,3000,1600,3000,46,200,FR,all,1,H
6,NA,NA,NA,NA,NA,NA,46,200,FR,all,1,H
7,1600,2400,1600,2400,1600,2400,46,200,FR,all,1,H
8,1800,3000,1800,2000,1800,2000,46,200,FR,all,1,H
9,2400,3200,2400,3200,2400,3200,46,200,FR,all,1,H
10,2400,3400,2400,3200,2400,3200,46,200,FR,all,1,H
11,2000,3400,2200,3400,2200,3400,46,200,FR,all,1,H
12,1600,3200,1600,3000,1600,3000,46,200,FR,all,1,H
13,2600,3400,2600,3400,2600,3400,46,200,FR,all,1,H
14,2400,2400,NA,NA,NA,NA,46,200,FR,all,1,H
15,2400,3400,2400,3400,2400,3400,46,200,FR,all,1,H
16,2200,3200,2400,3200,2400,3200,46,200,FR,all,1,H
17,1600,3600,1600,2600,1600,2600,46,200,FR,all,1,H
18,1600,2400,1600,2400,1600,2400,46,200,FR,all,1,H
19,1800,3400,1800,3400,1800,3400,46,200,FR,all,1,H
20,2400,3800,2400,3800,2400,3800,46,200,FR,all,1,H
21,1600,3200,1600,3000,1600,3000,46,200,FR,all,1,H
22,2000,3600,2000,3600,2000,3600,46,200,FR,all,1,H
23,2000,2800,2200,2600,2200,2600,46,200,FR,all,1,H
24,NA,NA,NA,NA,NA,NA,46,200,FR,all,1,H
25,2600,3600,2600,3400,2600,3400,46,200,FR,all,1,H
26,2200,2600,NA,NA,NA,NA,46,200,FR,all,1,H
27,1800,3000,1800,3000,1800,3000,46,200,FR,all,1,H
28,1600,2800,1600,2800,1600,2800,46,200,FR,all,1,H
29,2200,3000,2200,3000,2200,3000,46,200,FR,all,1,H
30,1600,2800,1600,2800,1600,2800,46,200,FR,all,1,H
31,2600,3800,2600,3600,2600,3600,46,200,FR,all,1,H
32,2000,3200,2000,3200,2000,3200,46,200,FR,all,1,H
33,2800,3800,3600,3600,3600,3600,46,200,FR,all,1,H
34,1600,3800,1600,3800,1600,3800,46,200,FR,all,1,H
35,2200,3600,2400,3600,2400,3600,46,200,FR,all,1,H
36,1600,2600,1600,2600,1600,2600,46,200,FR,all,1,H
37,1600,2600,1600,2600,1600,2600,46,200,FR,all,1,H
1,1600,2800,1600,2600,1600,2600,47,200,FR,all,1,H
2,2400,3800,2400,3800,2400,3800,47,200,FR,all,1,H
3,2200,3000,2200,3000,2200,3000,47,200,FR,all,1,H
4,1600,2800,1600,2800,1600,2800,47,200,FR,all,1,H
5,1600,3200,1600,3000,1600,3000,47,200,FR,all,1,H
6,NA,NA,NA,NA,NA,NA,47,200,FR,all,1,H
7,1600,2400,1600,2400,1600,2400,47,200,FR,all,1,H
8,1800,3000,1800,3000,1800,3000,47,200,FR,all,1,H
9,2400,3200,2400,3200,2400,3200,47,200,FR,all,1,H
10,2400,3400,2400,3200,2400,3200,47,200,FR,all,1,H
11,2000,3400,2200,3400,2200,3400,47,200,FR,all,1,H
12,1600,3200,1600,3200,1600,3200,47,200,FR,all,1,H
13,2600,3400,2800,3400,2800,3400,47,200,FR,all,1,H
14,2400,2400,NA,NA,NA,NA,47,200,FR,all,1,H
15,2400,3400,2400,3400,2400,3400,47,200,FR,all,1,H
16,2200,3200,2200,2800,2200,2800,47,200,FR,all,1,H
17,1600,3600,1600,3200,1600,3200,47,200,FR,all,1,H
18,1600,2400,1600,2400,1600,2400,47,200,FR,all,1,H
19,1800,3400,1800,3400,1800,3400,47,200,FR,all,1,H
20,2400,3800,2400,3800,2400,3800,47,200,FR,all,1,H
21,1600,3200,1600,3000,1600,3000,47,200,FR,all,1,H
22,2000,3600,2000,3400,2000,3400,47,200,FR,all,1,H
23,2000,2800,2200,2600,2200,2600,47,200,FR,all,1,H
24,NA,NA,NA,NA,NA,NA,47,200,FR,all,1,H
25,2600,3600,2800,3400,2800,3400,47,200,FR,all,1,H
26,2200,2600,NA,NA,NA,NA,47,200,FR,all,1,H
27,1800,3000,1800,3000,1800,3000,47,200,FR,all,1,H
28,1600,2800,1600,2600,1600,2600,47,200,FR,all,1,H
29,2200,3000,2200,3000,2200,3000,47,200,FR,all,1,H
30,1600,2800,1600,2800,1600,2800,47,200,FR,all,1,H
31,2600,3800,2600,3600,2600,3600,47,200,FR,all,1,H
32,2000,3200,2000,3200,2000,3200,47,200,FR,all,1,H
33,2800,3800,3000,3600,3000,3600,47,200,FR,all,1,H
34,1600,3800,1600,3800,1600,3800,47,200,FR,all,1,H
35,2200,3600,2400,3600,2400,3600,47,200,FR,all,1,H
36,1600,2600,1600,2600,1600,2600,47,200,FR,all,1,H
37,1600,2600,1600,2600,1600,2600,47,200,FR,all,1,H
1,1600,2800,1600,2800,1600,2800,48,200,FR,all,1,H
2,2400,3800,2400,3600,2400,3600,48,200,FR,all,1,H
3,2200,3000,2200,3000,2200,3000,48,200,FR,all,1,H
4,1600,2800,1600,2800,1600,2800,48,200,FR,all,1,H
5,1600,3200,1600,3000,1600,3000,48,200,FR,all,1,H
6,NA,NA,NA,NA,NA,NA,48,200,FR,all,1,H
7,1600,2400,1600,2400,1600,2400,48,200,FR,all,1,H
8,1800,3000,1800,3000,1800,3000,48,200,FR,all,1,H
9,2400,3200,2400,3200,2400,3200,48,200,FR,all,1,H
10,2400,3400,2400,3200,2400,3200,48,200,FR,all,1,H
11,2000,3400,2200,3400,2200,3400,48,200,FR,all,1,H
12,1600,3200,1600,3000,1600,3000,48,200,FR,all,1,H
13,2600,3400,2800,3400,2800,3400,48,200,FR,all,1,H
14,2400,2400,NA,NA,NA,NA,48,200,FR,all,1,H
15,2400,3400,2400,3400,2400,3400,48,200,FR,all,1,H
16,2200,3200,2400,3200,2400,3200,48,200,FR,all,1,H
17,1600,3600,1600,3600,1600,3600,48,200,FR,all,1,H
18,1600,2400,1600,2400,1600,2400,48,200,FR,all,1,H
19,1800,3400,1800,3400,1800,3400,48,200,FR,all,1,H
20,2400,3800,2400,3800,2400,3800,48,200,FR,all,1,H
21,1600,3200,1600,3000,1600,3000,48,200,FR,all,1,H
22,2000,3600,2000,3600,2000,3600,48,200,FR,all,1,H
23,2000,2800,2200,2800,2200,2800,48,200,FR,all,1,H
24,NA,NA,NA,NA,NA,NA,48,200,FR,all,1,H
25,2600,3600,2600,3400,2600,3400,48,200,FR,all,1,H
26,2200,2600,NA,NA,NA,NA,48,200,FR,all,1,H
27,1800,3000,1800,3000,1800,3000,48,200,FR,all,1,H
28,1600,2800,1600,2800,1600,2800,48,200,FR,all,1,H
29,2200,3000,2200,3000,2200,3000,48,200,FR,all,1,H
30,1600,2800,1600,2800,1600,2800,48,200,FR,all,1,H
31,2600,3800,2600,3600,2600,3600,48,200,FR,all,1,H
32,2000,3200,2000,3200,2000,3200,48,200,FR,all,1,H
33,2800,3800,3000,3600,3000,3600,48,200,FR,all,1,H
34,1600,3800,1600,3800,1600,3800,48,200,FR,all,1,H
35,2200,3600,2400,3600,2400,3600,48,200,FR,all,1,H
36,1600,2600,1600,2600,1600,2600,48,200,FR,all,1,H
37,1600,2600,1600,2600,1600,2600,48,200,FR,all,1,H
1,1600,2800,1600,2600,1600,2600,49,200,FR,all,1,H
2,2400,3800,2400,3600,2400,3600,49,200,FR,all,1,H
3,2200,3000,2200,3000,2200,3000,49,200,FR,all,1,H
4,1600,2800,1600,2800,1600,2800,49,200,FR,all,1,H
5,1600,3200,1600,3000,1600,3000,49,200,FR,all,1,H
6,NA,NA,NA,NA,NA,NA,49,200,FR,all,1,H
7,1600,2400,1600,2400,1600,2400,49,200,FR,all,1,H
8,1800,3000,1800,3000,1800,3000,49,200,FR,all,1,H
9,2400,3200,2400,3200,2400,3200,49,200,FR,all,1,H
10,2400,3400,2400,3200,2400,3200,49,200,FR,all,1,H
11,2000,3400,2200,3400,2200,3400,49,200,FR,all,1,H
12,1600,3200,1600,3000,1600,3000,49,200,FR,all,1,H
13,2600,3400,2600,3400,2600,3400,49,200,FR,all,1,H
14,2400,2400,NA,NA,NA,NA,49,200,FR,all,1,H
15,2400,3400,2400,3400,2400,3400,49,200,FR,all,1,H
16,2200,3200,2400,3200,2400,3200,49,200,FR,all,1,H
17,1600,3600,1600,2600,1600,2600,49,200,FR,all,1,H
18,1600,2400,1600,2400,1600,2400,49,200,FR,all,1,H
19,1800,3400,1800,3400,1800,3400,49,200,FR,all,1,H
20,2400,3800,2400,3800,2400,3800,49,200,FR,all,1,H
21,1600,3200,1600,3000,1600,3000,49,200,FR,all,1,H
22,2000,3600,2000,3400,2000,3400,49,200,FR,all,1,H
23,2000,2800,2200,2600,2200,2600,49,200,FR,all,1,H
24,NA,NA,NA,NA,NA,NA,49,200,FR,all,1,H
25,2600,3600,2800,3400,2800,3400,49,200,FR,all,1,H
26,2200,2600,NA,NA,NA,NA,49,200,FR,all,1,H
27,1800,3000,1800,3000,1800,3000,49,200,FR,all,1,H
28,1600,2800,1600,2600,1600,2600,49,200,FR,all,1,H
29,2200,3000,2200,3000,2200,3000,49,200,FR,all,1,H
30,1600,2800,1600,2800,1600,2800,49,200,FR,all,1,H
31,2600,3800,2600,3600,2600,3600,49,200,FR,all,1,H
32,2000,3200,2000,3200,2000,3200,49,200,FR,all,1,H
33,2800,3800,3000,3600,3000,3600,49,200,FR,all,1,H
34,1600,3800,1600,3800,1600,3800,49,200,FR,all,1,H
35,2200,3600,2400,3600,2400,3600,49,200,FR,all,1,H
36,1600,2600,1600,2600,1600,2600,49,200,FR,all,1,H
37,1600,2600,1600,2600,1600,2600,49,200,FR,all,1,H
1,1600,2800,1600,2600,1600,2600,50,200,FR,all,1,H
2,2400,3800,2400,3800,2400,3800,50,200,FR,all,1,H
3,2200,3000,2200,3000,2200,3000,50,200,FR,all,1,H
4,1600,2800,1600,2800,1600,2800,50,200,FR,all,1,H
5,1600,3200,1600,3000,1600,3000,50,200,FR,all,1,H
6,NA,NA,NA,NA,NA,NA,50,200,FR,all,1,H
7,1600,2400,1600,2400,1600,2400,50,200,FR,all,1,H
8,1800,3000,1800,2400,1800,2400,50,200,FR,all,1,H
9,2400,3200,2400,3200,2400,3200,50,200,FR,all,1,H
10,2400,3400,2400,3200,2400,3200,50,200,FR,all,1,H
11,2000,3400,2200,3400,2200,3400,50,200,FR,all,1,H
12,1600,3200,1600,3000,1600,3000,50,200,FR,all,1,H
13,2600,3400,2800,3400,2800,3400,50,200,FR,all,1,H
14,2400,2400,NA,NA,NA,NA,50,200,FR,all,1,H
15,2400,3400,2400,3400,2400,3400,50,200,FR,all,1,H
16,2200,3200,2400,3200,2400,3200,50,200,FR,all,1,H
17,1600,3600,1600,2600,1600,2600,50,200,FR,all,1,H
18,1600,2400,1600,2400,1600,2400,50,200,FR,all,1,H
19,1800,3400,1800,3400,1800,3400,50,200,FR,all,1,H
20,2400,3800,2400,3800,2400,3800,50,200,FR,all,1,H
21,1600,3200,1600,3000,1600,3000,50,200,FR,all,1,H
22,2000,3600,2000,3400,2000,3400,50,200,FR,all,1,H
23,2000,2800,2200,2600,2200,2600,50,200,FR,all,1,H
24,NA,NA,NA,NA,NA,NA,50,200,FR,all,1,H
25,2600,3600,2600,3400,2600,3400,50,200,FR,all,1,H
26,2200,2600,NA,NA,NA,NA,50,200,FR,all,1,H
27,1800,3000,1800,3000,1800,3000,50,200,FR,all,1,H
28,1600,2800,1600,2800,1600,2800,50,200,FR,all,1,H
29,2200,3000,2200,3000,2200,3000,50,200,FR,all,1,H
30,1600,2800,1600,2800,1600,2800,50,200,FR,all,1,H
31,2600,3800,2600,3800,2600,3800,50,200,FR,all,1,H
32,2000,3200,2000,3200,2000,3200,50,200,FR,all,1,H
33,2800,3800,3000,3000,3000,3000,50,200,FR,all,1,H
34,1600,3800,1600,3600,1600,3600,50,200,FR,all,1,H
35,2200,3600,2400,3600,2400,3600,50,200,FR,all,1,H
36,1600,2600,1600,2600,1600,2600,50,200,FR,all,1,H
37,1600,2600,1600,2600,1600,2600,50,200,FR,all,1,H